operatingSystem,country,TotalPageViews
Android,United States,724
iOS,United States,670
Android,Thailand,164
Android,India,136
iOS,United Kingdom,94
Android,United Kingdom,48
Android,Germany,44
iOS,India,39
Android,Canada,35
iOS,Canada,34
Android,Israel,32
Android,Australia,30
Android,Netherlands,29
Android,Mexico,26
iOS,Australia,22
Android,Belgium,20
iOS,Vietnam,18
iOS,Finland,18
Android,Japan,17
iOS,Germany,17
iOS,Malaysia,16
Android,Iraq,15
iOS,Italy,15
Android,Malaysia,15
Android,New Zealand,14
Android,Turkey,14
iOS,United Arab Emirates,14
Android,Italy,12
Android,France,10
iOS,France,9
Android,Iceland,9
iOS,Taiwan,9
iOS,Singapore,8
iOS,Switzerland,7
Android,Chile,7
Android,Taiwan,7
Android,Greece,7
Android,Indonesia,7
iOS,New Zealand,6
Windows,United States,6
Android,Norway,6
Android,China,6
iOS,Netherlands,6
Android,Costa Rica,6
Android,Brazil,6
iOS,Japan,5
Android,Spain,5
iOS,Indonesia,5
Android,Pakistan,4
iOS,Hungary,4
iOS,Denmark,4
iOS,Thailand,4
Samsung,India,4
Android,Poland,4
Android,Puerto Rico,4
iOS,Ireland,4
iOS,Philippines,4
(not set),India,4
(not set),Côte d’Ivoire,4
Android,Russia,4
Android,United Arab Emirates,3
Windows Phone,Vietnam,3
Android,Romania,3
iOS,Poland,3
Android,Austria,3
Android,Kenya,3
iOS,Turkey,3
Android,Egypt,3
Android,Trinidad & Tobago,2
Android,Denmark,2
iOS,Dominican Republic,2
(not set),Nigeria,2
iOS,(not set),2
Android,Argentina,2
Android,Algeria,2
iOS,Russia,2
Android,Morocco,2
iOS,Slovenia,2
iOS,Lithuania,2
(not set),Indonesia,2
iOS,Mexico,2
Android,Croatia,2
iOS,Hong Kong,2
(not set),Ethiopia,2
Android,Slovakia,2
Android,Switzerland,2
Android,Vietnam,2
Android,Czechia,2
Android,St. Lucia,1
Windows Phone,United States,1
iOS,Brazil,1
iOS,Portugal,1
Android,Portugal,1
Android,(not set),1
(not set),Romania,1
(not set),Pakistan,1
iOS,Bahrain,1
(not set),Guinea,1
iOS,Sweden,1
Android,Slovenia,1
Android,Finland,1
Android,Colombia,1
Android,Panama,1
Android,Bangladesh,1
iOS,Czechia,1
Android,Guatemala,1
iOS,China,1
Android,Ireland,1
iOS,Slovakia,1
Android,Nigeria,1
iOS,Spain,1
iOS,Norway,1
Android,Jordan,1
(not set),Tanzania,1
Android,Philippines,1
(not set),Bangladesh,1
Windows,Austria,1
iOS,Serbia,1
