predicted_body_mass_g,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
3875.2244702599073,Adelie Penguin (Pygoscelis adeliae),Biscoe,39.7,18.9,184.0,3550.0,MALE
3303.0968909844751,Adelie Penguin (Pygoscelis adeliae),Biscoe,36.4,17.1,184.0,2850.0,FEMALE
3976.5290091496827,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.6,18.0,192.0,3950.0,MALE
3457.923587324558,Adelie Penguin (Pygoscelis adeliae),Biscoe,35.0,17.9,192.0,3725.0,FEMALE
3980.5849577261506,Adelie Penguin (Pygoscelis adeliae),Biscoe,41.1,18.2,192.0,4050.0,MALE
4216.7256419849127,Adelie Penguin (Pygoscelis adeliae),Biscoe,42.0,19.5,200.0,4050.0,MALE
4592.8688284816417,Gentoo penguin (Pygoscelis papua),Biscoe,43.8,13.9,208.0,4300.0,FEMALE
4589.884541046109,Gentoo penguin (Pygoscelis papua),Biscoe,43.3,14.0,208.0,4575.0,FEMALE
4575.7579298246483,Gentoo penguin (Pygoscelis papua),Biscoe,44.0,13.6,208.0,4350.0,FEMALE
4556.7344048730583,Gentoo penguin (Pygoscelis papua),Biscoe,42.7,13.7,208.0,3950.0,FEMALE
4615.9021628122473,Gentoo penguin (Pygoscelis papua),Biscoe,45.3,13.8,208.0,4200.0,FEMALE
4623.0808164166156,Gentoo penguin (Pygoscelis papua),Biscoe,43.2,14.5,208.0,4450.0,FEMALE
5197.0748827891875,Gentoo penguin (Pygoscelis papua),Biscoe,48.7,15.7,208.0,5350.0,MALE
4945.2939847318194,Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.2,216.0,5000.0,FEMALE
5344.722925524904,Gentoo penguin (Pygoscelis papua),Biscoe,49.4,15.8,216.0,4925.0,MALE
4752.2466037455979,Gentoo penguin (Pygoscelis papua),Biscoe,47.3,13.8,216.0,4725.0,
5292.4108468078957,Gentoo penguin (Pygoscelis papua),Biscoe,49.6,15.0,216.0,4750.0,MALE
4731.3104524994105,Gentoo penguin (Pygoscelis papua),Biscoe,44.5,14.3,216.0,4100.0,
4849.012420438019,Gentoo penguin (Pygoscelis papua),Biscoe,46.4,15.0,216.0,4700.0,FEMALE
5357.8240148028835,Gentoo penguin (Pygoscelis papua),Biscoe,49.0,16.1,216.0,5550.0,MALE
4875.0761814016132,Gentoo penguin (Pygoscelis papua),Biscoe,47.7,15.0,216.0,4750.0,FEMALE
5494.422012147581,Gentoo penguin (Pygoscelis papua),Biscoe,49.5,16.1,224.0,5650.0,MALE
5490.366063571113,Gentoo penguin (Pygoscelis papua),Biscoe,50.0,15.9,224.0,5350.0,MALE
